ServiceType,BranchID,name,Address,PostalCode,PhoneNumber,FreeWiFi,latitude,longitude,Location,GeometryPoint
Library,EPLABB,Abbottsfield - Penny McKee,160-3210 118 Avenue,T5W 4W1,780-496-7839,Yes,53.571649,-113.390542,"(53.571649, -113.390542)",POINT (-113.390542 53.571649)
Library,EPLIDY,Idylwylde (Bonnie Doon),8310 88 Avenue,T6C 1L1,780-496-1808,Yes,53.5235044,-113.4593749,"(53.5235044, -113.4593749)",POINT (-113.4593749 53.5235044)
Library,EPLMNA,Stanley A. Milner (Downtown),7 Sir Winston Churchill Square,T5J 2V4,780-496-7000,Yes,53.543202,-113.489606,"(53.543202, -113.489606)",POINT (-113.489606 53.543202)
Library,EPLWMC,Whitemud Crossing,"145 Whitemud Crossing Shopping Centre, 4211 106 Street",T6J 6L7,780-496-1822,Yes,53.4794861,-113.5041223,"(53.4794861, -113.5041223)",POINT (-113.5041223 53.4794861)
Library,EPLMNJ,Shelley Milner Children's Library,7 Sir Winston Churchill Square NW,T5J 2V4,780-496-7039,Yes,,,,
Library,EPLMCN,McConachie,16607 50 Street,T5Y 0C8,780-442-5314,Yes,53.62794,-113.411279,"(53.62794, -113.411279)",POINT (-113.411279 53.62794)
Library,EPLCAL,Calder,12710 131 Avenue NW,T5L 2Z6,780-496-7090,Yes,53.590515,-113.542369,"(53.590515, -113.542369)",POINT (-113.542369 53.590515)
Library,EPLJPL,Jasper Place,9010 156 Street,T5R 5X7,780-496-1810,Yes,53.5232259,-113.5903997,"(53.5232259, -113.5903997)",POINT (-113.5903997 53.5232259)
Library,EPLHVY,Heritage Valley,2755 119A Street SW,T6W 0E2,780-496-4834,Yes,53.40748,-113.537569,"(53.40748, -113.537569)",POINT (-113.537569 53.40748)
Library,EPLMLW,Mill Woods,2610 Hewes Way,T6L 0A9,780-496-1818,Yes,53.4554447,-113.4343797,"(53.4554447, -113.4343797)",POINT (-113.4343797 53.4554447)
Library,EPLSTR,Strathcona,8331 104 Street,T6E 4E9,780-496-1828,Yes,53.5194554,-113.4974797,"(53.5194554, -113.4974797)",POINT (-113.4974797 53.5194554)
Library,EPLCPL,Capilano,9915 67 Street,T6A 3Z7,780-496-1802,Yes,53.54007132,-113.4322539,"(53.54007132, -113.4322539)",POINT (-113.4322539 53.54007132)
Library,EPLCLV,Clareview,3808 139 Avenue,T5Y 3G4,780-442-7471,Yes,53.601302,-113.401769,"(53.601302, -113.401769)",POINT (-113.401769 53.601302)
Library,EPLSPW,Sprucewood,11555 - 95 Street,T5G 1L5,780-496-7099,Yes,53.5666547,-113.4871741,"(53.5666547, -113.4871741)",POINT (-113.4871741 53.5666547)
Library,EPLLHL,Lois Hole (Callingwood),17650 69 Avenue,T5T 3X9,780-442-0888,Yes,53.5037705,-113.6260742,"(53.5037705, -113.6260742)",POINT (-113.6260742 53.5037705)
Library,EPLCSD,Castle Downs,"106 Lakeside Landing, 15379 Castle Downs Rd",T5X 3Y7,780-496-1804,Yes,53.6157356,-113.5166333,"(53.6157356, -113.5166333)",POINT (-113.5166333 53.6157356)
Library,EPLMEA,Meadows,2702 17 Street,T6T 0X1,780-442-7472,Yes,53.457502,-113.370389,"(53.457502, -113.370389)",POINT (-113.370389 53.457502)
Library,EPLRIV,Riverbend,"460 Riverbend Square, Rabbit Hill Road & Terwillegar Drive",T6R 2X2,780-944-5311,Yes,53.4683942,-113.5837689,"(53.4683942, -113.5837689)",POINT (-113.5837689 53.4683942)
Library,EPLLON,Londonderry,"Suite 166, 1 Londonderry Mall NW",T5C 3C8,780-496-1814,Yes,53.603432,-113.445778,"(53.603432, -113.445778)",POINT (-113.445778 53.603432)
Library,EPLWHP,West Henday Promenade (Lewis Estates),"818 Webber Greens Drive, West Henday Promenade",T5T 4K5,780-496-8342,Yes,53.52349,-113.667354,"(53.52349, -113.667354)",POINT (-113.667354 53.52349)
Library,EPLHIG,Highlands,6710 118 Avenue,T5B 0P3,780-496-1806,Yes,53.57058,-113.44505,"(53.57058, -113.44505)",POINT (-113.44505 53.57058)
Library,EPLWOO,Woodcroft (Westmount),13420 114 Avenue,T5M 2Y5,780-496-1830,Yes,53.5637555,-113.5538643,"(53.5637555, -113.5538643)",POINT (-113.5538643 53.5637555)
